count,marker,date_time,description
1,ERROR,2017-11-10 11:29:47,openerp.http: Exception during JSON request handling.
2,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60309)"
3,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60414)"
4,ERROR,2017-11-10 11:33:37,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60415)"
5,ERROR,2017-11-10 12:07:44,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 54278)"
6,ERROR,2017-11-10 12:14:41,werkzeug: Error on request:
7,ERROR,2017-11-10 12:15:42,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56626)"
8,ERROR,2017-11-10 12:15:54,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 56721)"
9,ERROR,2017-11-10 12:16:55,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57052)"
10,ERROR,2017-11-10 12:17:28,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57252)"
11,ERROR,2017-11-10 12:19:03,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 57778)"
12,ERROR,2017-11-10 12:24:00,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 59336)"
13,ERROR,2017-11-10 12:27:53,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60481)"
14,ERROR,2017-11-10 12:28:44,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60740)"
15,ERROR,2017-11-10 12:28:51,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 60810)"
16,ERROR,2017-11-10 15:27:46,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 61475)"
17,ERROR,2017-11-10 15:37:03,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64824)"
18,ERROR,2017-11-10 15:37:06,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 64884)"
19,ERROR,2017-11-10 15:47:21,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 52710)"
20,ERROR,2017-11-10 16:03:49,"openerp.service.server: Exception happened during processing of request from ('127.0.0.1', 58741)"
21,ERROR,2017-11-10 17:00:57,openerp.sql_db: Connection to the database failed
22,ERROR,2017-11-10 17:01:54,"openerp.addons.bus.bus: Bus.loop error, sleep and retry"
23,ERROR,2017-11-10 17:02:00,"openerp.http: FATAL:  password authentication failed for user ""openpg"""
24,ERROR,2017-11-10 17:30:34,openerp.addons.fetchmail.fetchmail: General failure when trying to fetch mail from pop server info@some_product.de.
25,ERROR,2017-11-10 17:30:55,openerp.addons.fetchmail.fetchmail: General failure when trying to fetch mail from pop server catchall@some_product.de.
26,ERROR,2017-11-10 20:29:17,openerp.modules.graph: module event_sale: Unmet dependencies: sale_crm
